Wavelength_nm,UV_photoreceptor,G_photoreceptor,R_photoreceptor
542,1.60E-06,0.976991264,0.00987578
543,1.60E-06,0.969751233,0.010132847
544,1.60E-06,0.964580497,0.010292077
545,1.60E-06,0.957996229,0.010402105
546,1.60E-06,0.948755673,0.010686994
547,1.60E-06,0.939580773,0.011045837
548,1.60E-06,0.933281153,0.011300105
549,1.60E-06,0.924859567,0.011714809
550,1.60E-06,0.91472822,0.012066466
551,1.60E-06,0.906829078,0.012278059
552,1.60E-06,0.894514719,0.012601903
553,1.60E-06,0.881343984,0.012889741
554,1.60E-06,0.87302897,0.013124876
555,1.60E-06,0.858103763,0.013449196
556,1.60E-06,0.843395751,0.013849464
557,1.60E-06,0.833401201,0.014167567
558,1.60E-06,0.823083722,0.014451096
559,1.60E-06,0.808832919,0.014878404
560,1.60E-06,0.793748131,0.015238417
561,1.60E-06,0.782990374,0.015491676
562,1.60E-06,0.766870361,0.015939934
563,1.60E-06,0.750580067,0.016441381
564,1.60E-06,0.740269545,0.016830582
565,1.60E-06,0.723442452,0.017335198
566,1.60E-06,0.706231152,0.0178609
567,1.60E-06,0.69509602,0.018222138
568,1.60E-06,0.683717016,0.018495846
569,1.60E-06,0.66538992,0.01890378
570,1.60E-06,0.647749156,0.019330048
571,1.60E-06,0.636422982,0.019665482
572,1.60E-06,0.619238393,0.020282416
573,1.60E-06,0.60141977,0.020926157
574,1.60E-06,0.589456139,0.021434331
575,1.60E-06,0.570336551,0.022306712
576,1.60E-06,0.552046474,0.02345296
577,1.60E-06,0.539980942,0.024362235
578,1.60E-06,0.522499354,0.025876119
579,1.60E-06,0.505671456,0.02753791
580,1.60E-06,0.494939443,0.028771684
581,1.60E-06,0.484029867,0.03005569
582,1.60E-06,0.467689937,0.032096822
583,1.60E-06,0.451537365,0.034553328
584,1.60E-06,0.440720656,0.036327142
585,1.60E-06,0.424856723,0.039489237
586,1.60E-06,0.408817661,0.043004304
587,1.60E-06,0.397745663,0.045591718
588,1.60E-06,0.3809909,0.050297887
589,1.60E-06,0.364795013,0.05544014
590,1.60E-06,0.354384327,0.059267778
591,1.60E-06,0.339043598,0.066103599
592,1.60E-06,0.324265702,0.074092104
593,1.60E-06,0.314766069,0.080413174
594,1.60E-06,0.305195308,0.087470877
595,1.60E-06,0.290996937,0.099535514
596,1.60E-06,0.277175486,0.11273096
597,1.60E-06,0.268602536,0.122535845
598,1.60E-06,0.255963039,0.138995382
599,1.60E-06,0.243552502,0.157737359
600,1.60E-06,0.235432584,0.171765084
601,1.60E-06,0.223313757,0.195668195
602,1.60E-06,0.211653636,0.221488428
603,1.60E-06,0.204278304,0.239779585
604,1.60E-06,0.193411148,0.270801347
605,1.60E-06,0.182637925,0.303370665
606,1.60E-06,0.175570347,0.326693077
607,1.60E-06,0.168700241,0.35164076
608,1.60E-06,0.158909331,0.392544429
609,1.60E-06,0.149801135,0.436325579
610,1.60E-06,0.143968822,0.467631748
611,1.60E-06,0.135295568,0.514902307
612,1.60E-06,0.126797271,0.560662072
613,1.60E-06,0.121382693,0.59229526
614,1.60E-06,0.113462556,0.638865027
615,1.60E-06,0.105921017,0.682918993
616,1.60E-06,0.101234101,0.713523647
617,1.60E-06,0.094736601,0.762624559
618,1.60E-06,0.088646691,0.812766608
619,1.60E-06,0.084727554,0.846498539
620,1.60E-06,0.079031095,0.889451531
621,1.60E-06,0.073585746,0.92230447
622,1.60E-06,0.07016097,0.94013428
623,1.60E-06,0.065363106,0.959386035
624,1.60E-06,0.060826645,0.975647844
625,1.60E-06,0.057942688,0.986808415
626,1.60E-06,0.055171564,0.994035827
627,1.60E-06,0.051264545,1
628,1.60E-06,0.047538249,0.997516336
629,1.60E-06,0.045194131,0.9912853
630,1.60E-06,0.041781838,0.979322373
631,1.60E-06,0.038579857,0.962973171
632,1.60E-06,0.036583427,0.950421073
633,1.60E-06,0.03379531,0.926750425
634,1.60E-06,0.031230769,0.898908967
635,1.60E-06,0.029599387,0.878223478
636,1.60E-06,0.02729461,0.846127557
637,1.60E-06,0.025120757,0.811900317
638,1.60E-06,0.023778402,0.787979345
639,1.60E-06,0.021932352,0.750351661
640,1.60E-06,0.020245855,0.713818916
641,1.60E-06,0.019147923,0.688359925
642,1.60E-06,0.017579972,0.65086022
643,1.60E-06,0.016093494,0.612507834
644,1.60E-06,0.015165052,0.586611972
645,1.60E-06,0.014296678,0.561825798
646,1.60E-06,0.013099523,0.525279361
647,1.60E-06,0.01200571,0.49026943
648,1.60E-06,0.011328202,0.467656029
649,1.60E-06,0.010379416,0.434600774
650,1.60E-06,0.009517024,0.404264181
651,1.60E-06,0.008982344,0.385224495
652,1.60E-06,0.008244568,0.358473849
653,1.60E-06,0.00755944,0.332795187
654,1.60E-06,0.007148655,0.316796251
655,1.60E-06,0.006576922,0.293877537
656,1.60E-06,0.006039857,0.271302377
657,1.60E-06,0.005703389,0.256893259
658,1.60E-06,0.00521764,0.236354994
659,1.60E-06,0.004773747,0.217625674
660,1.60E-06,0.004502803,0.206495859
661,1.60E-06,0.004132032,0.19082155
662,1.60E-06,0.003783067,0.175704428
